,javascript,java,c#,python,php,android,jquery,html,c++,css,ios,mysql,sql,asp.net,r,c,arrays,ruby-on-rails,node.js,.net,objective-c,json,sql-server,angularjs,swift
2008-08-01,1437,2455,4034,1125,1199,23,394,749,1683,484,52,536,1153,1880,5,684,219,469,0,3483,158,93,1190,0,0
2008-11-01,1867,2853,5501,1426,1519,42,833,1012,2135,652,105,871,1369,2619,9,742,272,553,1,3793,356,139,1227,0,1
2009-02-01,2794,4016,8661,1982,2479,139,1617,1463,2790,959,125,1179,1965,3949,23,1158,467,909,0,5057,795,219,1719,0,2
2009-05-01,4378,5952,11391,2953,4432,312,3058,2307,3690,1594,193,1926,2706,4828,53,1444,636,1600,0,6001,1600,379,2268,0,3
2009-08-01,5239,6641,12850,3437,6301,483,4438,2776,4247,1877,236,2914,3724,5272,238,1734,807,1861,0,6171,2050,494,2389,1,4
2009-11-01,6558,8657,13587,4637,8056,1341,5386,3487,5002,2321,217,3416,3502,5677,236,2559,1106,2362,11,6261,2367,605,2425,0,4
2010-02-01,8005,11269,16056,5361,9672,2846,7093,4056,6646,2917,331,4116,3884,6470,388,3077,1432,2999,27,7586,3134,835,2447,0,4
2010-05-01,9686,12230,17577,6232,11524,4598,8255,4921,7251,3383,449,4705,4667,6900,439,3310,1472,3551,70,7462,4442,988,2612,0,4
2010-08-01,11137,13513,18877,6768,12950,6470,9845,5578,7536,3839,1321,5261,5255,7087,575,3738,1772,4438,176,7821,4989,1235,3067,0,3
2010-11-01,13812,16727,21255,7325,15397,9774,11723,6998,9221,4734,2986,6622,5943,7673,576,4121,2174,5389,302,8284,5593,1623,3007,0,5
2011-02-01,17780,21766,26281,9166,20592,14733,15748,9175,10736,6475,4903,8570,6746,10062,993,5167,2965,6885,696,10235,8411,2208,3546,1,9
2011-05-01,21514,23381,28302,9758,23009,18706,18575,10579,10692,7524,7873,9316,7688,10641,1055,4797,3110,7083,972,10348,10230,2803,3480,3,17
2011-08-01,23429,24214,27482,9960,23219,19788,19901,11067,11352,8261,10451,9743,7558,9945,1423,5327,3473,7591,1280,9279,10069,2906,3474,6,19
2011-11-01,24959,27470,28610,10600,24584,22447,21050,11800,12442,8651,13165,10261,7910,10022,1546,5868,3814,7455,1617,8819,10360,3118,3551,3,11
2012-02-01,29563,33543,32335,13163,29199,27505,24707,14060,14519,10393,15872,12249,9724,10803,1993,7094,4566,8834,2020,9193,11321,4168,3991,18,17
2012-05-01,33086,33873,33772,14790,30871,29466,26888,16057,13898,11602,17737,13053,10120,10792,2378,6548,4532,9051,2420,9389,11716,4580,4528,157,15
2012-08-01,33882,35321,34291,15749,32210,29061,27409,16826,14850,12460,18709,13217,10962,10867,2696,7312,5064,8951,2650,9013,11401,4601,4750,509,14
2012-11-01,35572,37613,34489,17066,33185,31384,28169,18107,16548,12961,18601,14240,12383,10426,3272,7858,5509,8960,3035,8603,11354,5051,5027,924,8
2013-02-01,41958,43321,39035,20525,37785,33640,32799,21322,18797,15699,19394,16364,14379,11880,4353,9029,7221,10022,3650,8735,12093,6278,5809,2198,15
2013-05-01,43840,42230,38979,22204,37861,35538,33442,22635,18166,16322,19142,15563,14601,11579,4591,8448,6615,9880,4045,8512,10622,6482,6281,3437,9
2013-08-01,51559,46905,41243,23397,41359,35523,37115,27442,19086,19863,21374,17412,17594,11529,4643,9597,8454,11158,4683,8141,11712,7283,7120,5246,21
2013-11-01,55006,51891,41937,25748,43701,37420,36448,29707,21015,21079,21287,18672,19345,11465,5373,10376,10219,10649,5687,7565,12204,7766,7365,6235,19
2014-02-01,62489,58913,44757,29671,49694,43473,39635,33585,22434,23488,23978,21294,21863,11964,6811,11371,12135,11124,6698,7653,13962,9335,7991,8926,18
2014-05-01,56174,49008,38797,26348,40210,37720,34104,29043,17567,20710,21696,17314,19402,10049,6318,8147,9186,10523,6711,6550,11903,8441,7424,10391,3436
2014-08-01,53336,47520,36143,25540,38385,35336,31408,27295,17472,19574,22565,16293,17451,8797,6327,8597,9651,9057,6737,6201,10991,8099,7273,11631,5640
2014-11-01,51398,48054,33532,26432,37232,35265,28188,26205,17285,18367,20863,16097,12597,8010,6425,8951,10349,8630,6844,5596,9207,7857,7087,11784,7753
2015-02-01,57740,53053,36726,30923,41492,38025,30928,29250,19180,20379,23942,17456,13829,8723,8151,10116,11920,9347,8007,5676,9712,9147,7882,13818,10430
2015-05-01,66109,52408,39443,33033,42387,39519,33292,31854,18573,22155,25574,17757,13947,9196,9083,8683,11097,10253,9569,6045,9456,10207,8158,16660,12810
2015-08-01,62829,49503,37402,32231,39669,38271,30946,29791,17278,20970,26059,16449,12852,8314,8684,8257,10707,9392,9668,6046,8563,9625,7672,16560,13499
2015-11-01,62106,47872,35352,33961,39654,36315,28396,28743,18120,19446,22612,16429,12757,7571,8513,8636,11611,8653,10167,5277,6829,9708,7470,16107,13042
2016-02-01,67091,53844,38313,38227,42162,41162,29577,30931,18679,20683,22594,17856,14361,8232,9767,8885,12555,9285,11445,5695,6738,11028,8193,17212,14085
2016-05-01,64508,45785,36916,36650,38892,39082,27357,29813,15980,19995,20992,15991,13809,7761,9709,6556,10451,8350,11552,5501,5887,10532,8292,16612,13734
2016-08-01,60967,42838,33835,36309,35314,34998,25233,28174,14754,19339,20727,14600,13022,7008,9304,6946,10490,7364,11397,5019,5054,9930,8148,14145,14153
2016-11-01,59009,41964,32579,39117,34234,32719,23935,27336,15505,18427,18058,14045,12898,6435,8783,7784,11208,6618,11347,4727,4450,9818,7825,11952,12284
2017-02-01,63119,45123,33928,44725,37085,34160,24916,29718,15762,19838,17192,16045,14037,6653,10509,7467,11734,6228,12394,4922,3831,10648,8458,10984,12105
2017-05-01,62670,43160,32982,46185,34823,32608,23618,28486,13790,18975,17333,14740,14258,6523,11433,6201,10729,5778,13045,4878,3439,10709,8110,9067,12201
2017-08-01,57573,38612,29777,46050,31516,29718,20670,25346,13287,17405,15858,13520,13006,5521,11326,6006,10132,5023,12433,4369,2698,9573,7940,6826,11481
2017-11-01,52663,36617,26688,45633,28463,28125,17795,22880,13108,15793,13765,12274,12286,4908,10731,6525,10329,4435,12354,3908,2088,9284,7231,5095,10331
2018-02-01,51389,36997,26434,48648,26438,27032,15122,21886,13005,14548,12268,11755,13248,4225,12347,5882,9005,4230,12168,4131,1717,8213,7007,3821,10686
2018-05-01,50160,35439,26908,49757,25012,26441,13386,21240,11727,14079,11290,11085,13464,4097,11769,5105,8065,3847,12226,4248,1525,7961,6960,3096,10137
2018-08-01,48708,33215,26000,49342,23277,25020,12463,19829,10831,13468,10701,9814,12417,3851,10526,5135,8323,3459,12191,4055,1270,7536,6805,2353,9713
2018-11-01,47664,34569,25352,51518,21501,24507,11166,18884,11208,12474,9922,10012,11828,3588,10570,6240,8225,3558,12844,3931,1052,7249,6405,2231,9030
2019-02-01,52460,37362,28208,60454,23951,25979,11696,21199,12073,13811,9962,11007,13379,4055,12779,6048,8506,3543,14569,4198,1108,8180,6974,2075,9345
2019-05-01,50576,35129,26987,60214,21380,25872,10632,21396,11768,13241,9725,9371,12019,3675,11991,5124,7788,3122,14742,3793,948,7962,6259,1609,10121
2019-08-01,49741,33199,25931,59441,19111,24167,9655,20311,11435,13089,9534,8978,12142,3280,11653,5431,7891,3119,13978,3775,957,7386,6235,1231,8916
